DATE;I44;AUD;EUR;CAD;GBP;HKD;JPY;MYR;NZD;SGD;SEK;PLN;USD;PHP;IDR;KRW;THB;TWD;XDR
01.01.2000;100.6;5.237;8.0765;5.5288;12.991;1.0343;7.8619;2.1029;4.1724;4.827;94.32;1.942;8.0395;19.876;0.113;0.7052;21.444;25.608;11.0053
02.01.2000;100.6;5.237;8.0765;5.5288;12.991;1.0343;7.8619;2.1029;4.1724;4.827;94.32;1.942;8.0395;19.876;0.113;0.7052;21.444;25.608;11.0053
03.01.2000;100.32;5.2535;8.062;5.5306;12.907;1.0275;7.8462;2.0813;4.1705;4.8221;94.27;1.927;7.9901;19.822;0.113;0.7087;21.583;25.456;11.0053
04.01.2000;100.68;5.1987;8.15;5.4566;12.945;1.017;7.6974;2.0828;4.1276;4.7848;94.53;1.921;7.9088;19.916;0.112;0.7047;21.246;25.866;10.9297
05.01.2000;101.05;5.2026;8.206;5.4471;12.976;1.0176;7.6449;2.0781;4.112;4.7779;94.96;1.925;7.9147;19.717;0.11;0.7047;21.246;25.866;10.9376
06.01.2000;100.96;5.1826;8.203;5.4357;13.017;1.0153;7.5451;2.0969;4.0884;4.7485;94.89;1.926;7.8966;19.675;0.111;0.6889;21.03;25.597;10.9003
07.01.2000;101.16;5.2068;8.1945;5.4594;13.086;1.0245;7.5812;2.1073;4.1092;4.7972;94.79;1.956;7.9682;19.867;0.112;0.7005;21.383;25.831;10.9587
08.01.2000;101.16;5.2068;8.1945;5.4594;13.086;1.0245;7.5812;2.1073;4.1092;4.7972;94.79;1.956;7.9682;19.867;0.112;0.7005;21.383;25.831;10.9587
09.01.2000;101.16;5.2068;8.1945;5.4594;13.086;1.0245;7.5812;2.1073;4.1092;4.7972;94.79;1.956;7.9682;19.867;0.112;0.7005;21.383;25.831;10.9587
10.01.2000;101.2;5.2544;8.19;5.5066;13.106;1.0293;7.6357;2.106;4.1399;4.8196;94.61;1.97;8.0066;19.907;0.112;0.7065;21.491;25.974;10.9986
11.01.2000;101.19;5.2397;8.2075;5.4852;13.13;1.0289;7.5402;2.0975;4.1314;4.7905;94.75;1.965;8.0026;19.608;0.11;0.6983;21.241;25.967;10.9927
12.01.2000;101.17;5.2488;8.216;5.4711;13.139;1.0247;7.5307;2.0947;4.1324;4.7776;94.74;1.964;7.9705;19.654;0.111;0.6966;21.226;25.858;10.9574
13.01.2000;100.88;5.2942;8.1795;5.4907;13.077;1.0233;7.5117;2.0941;4.1637;4.7741;94.59;1.959;7.9598;19.624;0.11;0.7011;21.254;25.817;10.9349
14.01.2000;100.67;5.3069;8.1365;5.4906;13.079;1.023;7.5303;2.1109;4.1523;4.7507;94.36;1.953;7.9575;19.781;0.112;0.7119;21.245;25.797;10.9202
15.01.2000;100.67;5.3069;8.1365;5.4906;13.079;1.023;7.5303;2.1109;4.1523;4.7507;94.36;1.953;7.9575;19.781;0.112;0.7119;21.245;25.797;10.9202
16.01.2000;100.67;5.3069;8.1365;5.4906;13.079;1.023;7.5303;2.1109;4.1523;4.7507;94.36;1.953;7.9575;19.781;0.112;0.7119;21.245;25.797;10.9202
17.01.2000;100.67;5.3224;8.0965;5.5262;13.101;1.0312;7.6519;2.1139;4.1584;4.7931;94.54;1.96;8.0211;19.812;0.111;0.7159;21.427;26;10.9815
18.01.2000;100.73;5.3255;8.1065;5.5425;13.13;1.0325;7.6175;2.1033;4.1476;4.8021;94.59;1.967;8.0318;19.757;0.11;0.713;21.513;26.043;10.9775
19.01.2000;100.3;5.3052;8.0755;5.5134;13.084;1.0273;7.5479;2.1093;4.1279;4.7668;94.08;1.948;7.9916;19.718;0.109;0.705;21.382;25.913;10.9169
20.01.2000;100.56;5.3264;8.0865;5.5292;13.198;1.0304;7.5972;2.1051;4.1321;4.7886;94.13;1.961;8.0152;19.727;0.11;0.7121;21.503;25.998;10.9684
21.01.2000;100.53;5.3086;8.077;5.5295;13.213;1.0284;7.6537;2.1116;4.1161;4.7767;94.07;1.958;7.9994;19.763;0.11;0.7095;21.492;25.955;10.9745
22.01.2000;100.53;5.3086;8.077;5.5295;13.213;1.0284;7.6537;2.1116;4.1161;4.7767;94.07;1.958;7.9994;19.763;0.11;0.7095;21.492;25.955;10.9745
23.01.2000;100.53;5.3086;8.077;5.5295;13.213;1.0284;7.6537;2.1116;4.1161;4.7767;94.07;1.958;7.9994;19.763;0.11;0.7095;21.492;25.955;10.9745
24.01.2000;100.42;5.2602;8.0455;5.564;13.272;1.0314;7.6232;2.1145;4.0685;4.7691;94;1.958;8.0238;19.864;0.11;0.713;21.532;26.041;10.978
25.01.2000;100.44;5.2645;8.0415;5.5674;13.22;1.0328;7.6086;2.1194;4.1003;4.7738;94.47;1.941;8.0351;19.935;0.11;0.713;21.545;26.079;10.9637
26.01.2000;100.69;5.2801;8.069;5.6015;13.241;1.0352;7.6094;2.1319;4.0943;4.7557;94.49;1.949;8.0537;20.027;0.109;0.7143;21.445;26.155;10.9869
27.01.2000;101.01;5.2858;8.0815;5.6392;13.272;1.0412;7.6653;2.1498;4.1234;4.8013;94.68;1.963;8.1009;20.243;0.11;0.7192;21.651;26.32;11.0437
28.01.2000;100.96;5.2998;8.044;5.6736;13.294;1.0499;7.754;2.1727;4.0382;4.7796;94.37;1.962;8.1682;20.433;0.111;0.7268;21.71;26.601;11.1035
29.01.2000;100.96;5.2998;8.044;5.6736;13.294;1.0499;7.754;2.1727;4.0382;4.7796;94.37;1.962;8.1682;20.433;0.111;0.7268;21.71;26.601;11.1035
30.01.2000;100.96;5.2998;8.044;5.6736;13.294;1.0499;7.754;2.1727;4.0382;4.7796;94.37;1.962;8.1682;20.433;0.111;0.7268;21.71;26.601;11.1035
31.01.2000;101.35;5.2382;8.0825;5.6939;13.366;1.061;7.7256;2.188;4.0722;4.8573;93.98;1.964;8.255;20.554;0.112;0.7338;21.987;26.892;11.168
01.02.2000;101.39;5.2844;8.073;5.717;13.41;1.0686;7.7165;2.1713;4.098;4.8951;94.03;1.969;8.3141;20.373;0.111;0.738;22.18;27.099;11.1829
02.02.2000;100.74;5.2495;8.0175;5.687;13.25;1.0605;7.5988;2.1726;4.0332;4.8573;94.12;1.94;8.251;20.334;0.109;0.7299;21.93;26.854;11.0864
03.02.2000;101.03;5.2318;8.0475;5.7298;13.223;1.061;7.6078;2.1628;4.0648;4.8734;94.85;1.972;8.2555;20.243;0.107;0.7306;21.901;26.865;11.0936
04.02.2000;101.17;5.1914;8.083;5.6995;13.048;1.0564;7.6262;2.1715;4.0439;4.8652;95.41;1.97;8.2186;20.374;0.11;0.7276;21.902;26.705;11.0776
05.02.2000;101.17;5.1914;8.083;5.6995;13.048;1.0564;7.6262;2.1715;4.0439;4.8652;95.41;1.97;8.2186;20.374;0.11;0.7276;21.902;26.705;11.0776
06.02.2000;101.17;5.1914;8.083;5.6995;13.048;1.0564;7.6262;2.1715;4.0439;4.8652;95.41;1.97;8.2186;20.374;0.11;0.7276;21.902;26.705;11.0776
07.02.2000;101.05;5.2808;8.059;5.738;13.138;1.0605;7.6014;2.145;4.0824;4.871;95.23;1.968;8.2513;20.136;0.109;0.7307;21.901;26.855;11.0945
08.02.2000;100.79;5.1631;8.072;5.6235;13.057;1.0477;7.4803;2.1412;4.0213;4.8088;95.24;1.971;8.1511;20.129;0.111;0.722;21.664;26.568;10.9746
09.02.2000;100.9;5.1745;8.0825;5.6387;13.102;1.0457;7.4727;2.152;4.0324;4.8102;95.14;1.968;8.1362;20.241;0.114;0.7242;21.682;26.611;10.9852
10.02.2000;101;5.1771;8.0695;5.6363;13.173;1.0509;7.5338;2.1587;4.0327;4.8344;95.16;1.969;8.1774;20.354;0.113;0.7298;21.862;26.746;11.0377
11.02.2000;100.78;5.1781;8.0395;5.6724;13.102;1.0541;7.4842;2.1551;4.0389;4.8367;95.23;1.975;8.2027;20.268;0.112;0.7357;21.871;26.789;11.0151
12.02.2000;100.78;5.1781;8.0395;5.6724;13.102;1.0541;7.4842;2.1551;4.0389;4.8367;95.23;1.975;8.2027;20.268;0.112;0.7357;21.871;26.789;11.0151
13.02.2000;100.78;5.1781;8.0395;5.6724;13.102;1.0541;7.4842;2.1551;4.0389;4.8367;95.23;1.975;8.2027;20.268;0.112;0.7357;21.871;26.789;11.0151
14.02.2000;101.02;5.1672;8.0795;5.6468;13.029;1.0524;7.5615;2.1715;4.0095;4.8302;95.22;1.976;8.1884;20.476;0.114;0.7262;21.856;26.698;11.0374
15.02.2000;101.1;5.1731;8.0685;5.6585;13.1;1.0605;7.5789;2.1776;4.012;4.8711;94.99;1.986;8.2517;20.507;0.113;0.7322;21.984;26.878;11.0861
16.02.2000;101.47;5.2234;8.1125;5.6814;13.236;1.0634;7.5839;2.164;4.0575;4.863;94.92;1.999;8.2747;20.339;0.111;0.7352;21.975;26.953;11.1267
17.02.2000;101.63;5.2132;8.1565;5.6607;13.245;1.0567;7.4625;2.1747;4.0475;4.8243;95.1;2.001;8.2231;20.404;0.111;0.729;21.809;26.785;11.0798
18.02.2000;101.71;5.2125;8.1455;5.7009;13.258;1.062;7.4545;2.1812;4.0687;4.8462;95.41;2.016;8.2637;20.415;0.112;0.7319;21.732;26.904;11.0971
19.02.2000;101.71;5.2125;8.1455;5.7009;13.258;1.062;7.4545;2.1812;4.0687;4.8462;95.41;2.016;8.2637;20.415;0.112;0.7319;21.732;26.904;11.0971
20.02.2000;101.71;5.2125;8.1455;5.7009;13.258;1.062;7.4545;2.1812;4.0687;4.8462;95.41;2.016;8.2637;20.415;0.112;0.7319;21.732;26.904;11.0971
21.02.2000;101.78;5.1982;8.17;5.7065;13.261;1.0651;7.4455;2.1512;4.0576;4.8541;95.31;2.022;8.2885;20.107;0.11;0.7319;21.723;26.998;11.1155
22.02.2000;101.54;5.1274;8.1915;5.616;13.157;1.0503;7.3724;2.1422;4.0137;4.7881;95.41;2.004;8.1735;20.025;0.109;0.7205;21.439;26.589;11.0138
23.02.2000;101.47;5.0512;8.1955;5.5548;13.109;1.046;7.3253;2.1662;3.9464;4.7505;95.37;1.992;8.1401;20.275;0.111;0.7169;21.351;26.433;10.9849
24.02.2000;101.49;5.071;8.1475;5.6271;13.167;1.0577;7.4372;2.1796;4.0001;4.7977;95.21;2.008;8.2315;20.3;0.11;0.7198;21.608;26.747;11.0729
25.02.2000;101.63;5.1329;8.1275;5.6975;13.205;1.0642;7.4708;2.2012;4.0484;4.8398;95.33;2;8.2824;20.501;0.114;0.7288;21.879;26.943;11.098
26.02.2000;101.63;5.1329;8.1275;5.6975;13.205;1.0642;7.4708;2.2012;4.0484;4.8398;95.33;2;8.2824;20.501;0.114;0.7288;21.879;26.943;11.098
27.02.2000;101.63;5.1329;8.1275;5.6975;13.205;1.0642;7.4708;2.2012;4.0484;4.8398;95.33;2;8.2824;20.501;0.114;0.7288;21.879;26.943;11.098
28.02.2000;101.61;5.1321;8.0625;5.7717;13.278;1.0748;7.6625;2.1892;4.0537;4.8701;95.79;1.998;8.3645;20.338;0.112;0.7373;22.055;27.188;11.2003
29.02.2000;101.53;5.1159;8.0805;5.7321;13.173;1.0688;7.5653;2.2002;4.0431;4.8265;95.83;2.003;8.3184;20.452;0.113;0.7354;21.819;27.1;11.1407
01.03.2000;101.73;5.0611;8.0825;5.7864;13.2;1.0743;7.7234;2.1838;4.0463;4.8652;95.93;2.013;8.3609;20.264;0.113;0.7412;21.953;27.256;11.1966
02.03.2000;101.5;5.0589;8.07;5.7141;13.143;1.0663;7.7314;2.2025;4.0649;4.8315;95.6;2.017;8.2982;20.488;0.113;0.7411;21.892;27.021;11.1551
03.03.2000;101.76;5.0801;8.084;5.7533;13.216;1.0754;7.7604;2.2048;4.0855;4.8547;95.44;2.029;8.3694;20.535;0.112;0.7473;22.051;27.249;11.2153
04.03.2000;101.76;5.0801;8.084;5.7533;13.216;1.0754;7.7604;2.2048;4.0855;4.8547;95.44;2.029;8.3694;20.535;0.112;0.7473;22.051;27.249;11.2153
05.03.2000;101.76;5.0801;8.084;5.7533;13.216;1.0754;7.7604;2.2048;4.0855;4.8547;95.44;2.029;8.3694;20.535;0.112;0.7473;22.051;27.249;11.2153
06.03.2000;101.85;5.0605;8.0765;5.7788;13.216;1.0764;7.8056;2.2177;4.0797;4.8548;95.66;2.038;8.3781;20.654;0.114;0.7486;22.004;27.268;11.2318
07.03.2000;102.1;5.091;8.084;5.7996;13.261;1.0827;7.8485;2.2295;4.0744;4.8952;95.84;2.04;8.427;20.639;0.114;0.7534;22.127;27.383;11.2745
08.03.2000;102.31;5.1428;8.085;5.8124;13.379;1.0884;7.9079;2.2218;4.1212;4.9416;95.9;2.044;8.4722;20.615;0.114;0.7571;22.328;27.543;11.3366
09.03.2000;102.46;5.1697;8.1175;5.7899;13.338;1.0845;7.9242;2.2173;4.1431;4.9341;96.09;2.049;8.4417;20.626;0.114;0.7522;22.253;27.497;11.3299
10.03.2000;102.23;5.1728;8.0995;5.7932;13.289;1.0824;7.9197;2.1995;4.1703;4.9454;95.95;2.054;8.4256;20.46;0.114;0.7526;22.281;27.4;11.3056
11.03.2000;102.23;5.1728;8.0995;5.7932;13.289;1.0824;7.9197;2.1995;4.1703;4.9454;95.95;2.054;8.4256;20.46;0.114;0.7526;22.281;27.4;11.3056
12.03.2000;102.23;5.1728;8.0995;5.7932;13.289;1.0824;7.9197;2.1995;4.1703;4.9454;95.95;2.054;8.4256;20.46;0.114;0.7526;22.281;27.4;11.3056
13.03.2000;102.3;5.1334;8.1205;5.7324;13.213;1.0737;7.9434;2.2216;4.1104;4.8972;96.43;2.043;8.3579;20.691;0.114;0.746;22.061;27.224;11.2644
14.03.2000;102.61;5.1954;8.121;5.7784;13.263;1.0845;8.0462;2.2205;4.1457;4.9383;96.7;2.058;8.4418;20.656;0.114;0.7549;22.277;27.462;11.3523
15.03.2000;102.68;5.1725;8.14;5.7559;13.257;1.084;8.0008;2.2221;4.1134;4.93;96.73;2.062;8.4379;20.643;0.113;0.7545;22.196;27.422;11.345
16.03.2000;102.82;5.179;8.1585;5.7576;13.255;1.0846;8.0198;2.2186;4.133;4.9347;96.75;2.069;8.443;20.612;0.113;0.7558;22.262;27.444;11.3664
17.03.2000;102.74;5.1344;8.154;5.7113;13.267;1.0829;7.9699;2.2133;4.093;4.9171;96.88;2.068;8.4305;20.563;0.113;0.7546;22.191;27.399;11.3374
18.03.2000;102.74;5.1344;8.154;5.7113;13.267;1.0829;7.9699;2.2133;4.093;4.9171;96.88;2.068;8.4305;20.563;0.113;0.7546;22.191;27.399;11.3374
19.03.2000;102.74;5.1344;8.154;5.7113;13.267;1.0829;7.9699;2.2133;4.093;4.9171;96.88;2.068;8.4305;20.563;0.113;0.7546;22.191;27.399;11.3374
20.03.2000;102.7;5.0945;8.1705;5.7208;13.176;1.0803;7.8782;2.2152;4.0601;4.8911;97.01;2.07;8.4102;20.581;0.113;0.7522;22.129;27.306;11.2902
21.03.2000;102.84;5.1275;8.166;5.7269;13.222;1.0812;7.8929;2.2328;4.1054;4.8963;97.3;2.081;8.4177;20.744;0.114;0.7543;22.225;27.406;11.3127
22.03.2000;102.9;5.1518;8.1475;5.7759;13.302;1.0897;7.9194;2.2092;4.1358;4.9436;97.41;2.089;8.4843;20.55;0.113;0.7625;22.425;27.641;11.3571
23.03.2000;102.29;5.0764;8.106;5.7072;13.28;1.0783;7.8032;2.2023;4.0917;4.9065;96.82;2.072;8.3948;20.511;0.113;0.7565;22.267;27.345;11.2429
24.03.2000;102.46;5.0797;8.13;5.7101;13.295;1.075;7.8105;2.2022;4.0811;4.8761;97.07;2.077;8.3685;20.485;0.113;0.7549;22.171;27.286;11.2498
25.03.2000;102.46;5.0797;8.13;5.7101;13.295;1.075;7.8105;2.2022;4.0811;4.8761;97.07;2.077;8.3685;20.485;0.113;0.7549;22.171;27.286;11.2498
26.03.2000;102.46;5.0797;8.13;5.7101;13.295;1.075;7.8105;2.2022;4.0811;4.8761;97.07;2.077;8.3685;20.485;0.113;0.7549;22.171;27.286;11.2498
27.03.2000;102.58;5.1378;8.127;5.7204;13.351;1.0749;7.8317;2.2045;4.1577;4.8823;97.45;2.077;8.368;20.466;0.112;0.7525;22.152;27.311;11.2701
28.03.2000;102.35;5.1403;8.081;5.7475;13.274;1.076;7.877;2.2176;4.211;4.8831;97.7;2.068;8.3767;20.588;0.111;0.7531;22.146;27.357;11.2587
29.03.2000;102.52;5.1239;8.0625;5.7858;13.366;1.0823;8.0009;2.2258;4.2047;4.9126;97.78;2.062;8.4265;20.664;0.112;0.7597;22.307;27.547;11.319
30.03.2000;102.8;5.1768;8.0815;5.8048;13.447;1.0863;8.0533;2.2283;4.2221;4.9187;97.96;2.06;8.4579;20.641;0.112;0.7638;22.355;27.731;11.3696
31.03.2000;102.96;5.1157;8.0885;5.8279;13.515;1.0874;8.2092;2.2313;4.1849;4.9414;97.66;2.041;8.467;20.639;0.112;0.7656;22.367;27.761;11.404
01.04.2000;102.96;5.1157;8.0885;5.8279;13.515;1.0874;8.2092;2.2313;4.1849;4.9414;97.66;2.041;8.467;20.639;0.112;0.7656;22.367;27.761;11.404
02.04.2000;102.96;5.1157;8.0885;5.8279;13.515;1.0874;8.2092;2.2313;4.1849;4.9414;97.66;2.041;8.467;20.639;0.112;0.7656;22.367;27.761;11.404
03.04.2000;103.06;5.1515;8.109;5.8452;13.515;1.0889;8.0872;2.2389;4.2259;4.9367;97.76;2.051;8.4787;20.7;0.111;0.7621;22.427;27.867;11.3999
04.04.2000;103.13;5.1328;8.1145;5.8622;13.59;1.0926;8.0549;2.2192;4.2469;4.9506;97.76;2.029;8.5075;20.493;0.11;0.7641;22.48;27.962;11.432
05.04.2000;103.09;5.1128;8.157;5.7941;13.398;1.083;8.0199;2.2237;4.2218;4.9136;97.93;2.004;8.4328;20.559;0.108;0.7563;22.174;27.703;11.3665
06.04.2000;103.05;5.0952;8.133;5.8318;13.388;1.0851;8.0493;2.2363;4.2342;4.9327;97.97;2.015;8.4499;20.675;0.109;0.7599;22.175;27.704;11.3788
07.04.2000;103.21;5.0658;8.127;5.8396;13.44;1.0912;8.0697;2.2355;4.2135;4.9606;98.24;2.036;8.4975;20.689;0.111;0.7675;22.371;27.897;11.4192
08.04.2000;103.21;5.0658;8.127;5.8396;13.44;1.0912;8.0697;2.2355;4.2135;4.9606;98.24;2.036;8.4975;20.689;0.111;0.7675;22.371;27.897;11.4192
09.04.2000;103.21;5.0658;8.127;5.8396;13.44;1.0912;8.0697;2.2355;4.2135;4.9606;98.24;2.036;8.4975;20.689;0.111;0.7675;22.371;27.897;11.4192
10.04.2000;103.32;5.0836;8.1465;5.8235;13.434;1.0909;7.993;2.2429;4.2254;4.9427;98.42;2.05;8.4948;20.761;0.112;0.7654;22.352;28.017;11.3863
11.04.2000;103.66;5.0789;8.1765;5.8333;13.504;1.0945;7.9685;2.2423;4.2506;4.9558;98.89;2.052;8.5225;20.744;0.112;0.768;22.401;28.15;11.428
12.04.2000;103.57;5.0743;8.1585;5.82;13.512;1.094;8.0689;2.2484;4.2424;4.9587;98.4;2.073;8.5197;20.767;0.113;0.769;22.423;28.137;11.4421
13.04.2000;103.57;5.1194;8.148;5.8488;13.582;1.097;8.0601;2.2479;4.264;4.9798;98.29;2.051;8.5436;20.763;0.113;0.7721;22.539;28.113;11.469
14.04.2000;103.54;5.0934;8.149;5.7946;13.546;1.0968;8.0795;2.2562;4.244;5.0031;98.22;2.041;8.5419;20.84;0.113;0.7688;22.553;28.043;11.4561
15.04.2000;103.54;5.0934;8.149;5.7946;13.546;1.0968;8.0795;2.2562;4.244;5.0031;98.22;2.041;8.5419;20.84;0.113;0.7688;22.553;28.043;11.4561
16.04.2000;103.54;5.0934;8.149;5.7946;13.546;1.0968;8.0795;2.2562;4.244;5.0031;98.22;2.041;8.5419;20.84;0.113;0.7688;22.553;28.043;11.4561
17.04.2000;104.14;5.0764;8.2075;5.7864;13.62;1.1009;8.257;2.2653;4.2533;5.0279;98.54;2.006;8.5736;20.918;0.113;0.7698;22.613;28.041;11.5612
18.04.2000;104.05;5.1074;8.1775;5.7816;13.618;1.1056;8.2626;2.2719;4.2571;5.0682;98.56;2.019;8.6078;20.977;0.111;0.7756;22.704;28.213;11.5644
