ds;AUD;CAD;CHF;DKK;GBP;ISK;JPY;NZD;SEK;USD;XDR
10.12.1980;6.1025;4.3585;288.85;85.3;12.21;1.86;2.494;4.9827;117.6;5.2225;6.5839
11.12.1980;6.1137;4.38;287.5;85.1;12.28;1.86;2.502;4.9949;117.65;5.2535;6.57996
12.12.1980;6.1152;4.3675;287.45;85.05;12.16;1.86;2.503;4.9582;117.3;5.253;6.58464
15.12.1980;6.0413;4.3115;289.85;86;12.105;1.85;2.497;4.9152;117.55;5.181;6.56821
16.12.1980;6.0551;4.301;285.75;84.55;12.08;1.85;2.479;4.9477;116.7;5.1995;6.5312
17.12.1980;6.0646;4.309;285.6;84.45;12.075;1.85;2.485;4.9316;116.5;5.204;6.54372
18.12.1980;6.0751;4.317;287.85;85.2;12.1;1.85;2.486;4.9459;117.2;5.21;6.56793
19.12.1980;6.0748;4.341;287.15;85.3;12.12;1.85;2.49;4.9229;117.4;5.2;6.5584
22.12.1980;6.0616;4.3515;287.95;85.6;12.175;1.84;2.494;4.9199;117.4;5.179;6.56806
23.12.1980;6.0636;4.343;292.9;85.9;12.245;1.84;2.488;4.9254;117.95;5.165;6.59173
24.12.1980;6.0768;4.3455;292.4;86.85;12.3;1.83;2.499;4.9465;118.6;5.172;6.59792
25.12.1980;;;;;;;;4.9465;;;
26.12.1980;;;;;;;;4.9465;;;
29.12.1980;6.0898;4.3565;292.75;86.35;12.305;1.84;2.501;4.9635;118.25;5.18;6.58767
30.12.1980;6.1016;4.3565;293.9;86.35;12.27;1.83;2.543;4.9608;118.15;5.165;6.59235
31.12.1980;6.1186;4.352;293.15;86.2;12.375;1.81;2.556;4.9819;118.35;5.18;6.60662
01.01.1981;;;;;;;;4.9819;;;
02.01.1981;6.1343;4.3575;292.8;85.95;12.38;83.3;2.57;4.9968;118.3;5.197;6.60923
05.01.1981;6.1188;4.333;291.7;85.9;12.365;82.85;2.585;4.9678;117.85;5.16;6.5999
06.01.1981;6.0901;4.314;292.65;86.1;12.455;82.25;2.571;4.9521;118.4;5.126;6.59347
