Date,Close
17.07.1998 kl. 18.00.00,"313,83"
20.07.1998 kl. 18.00.00,315
21.07.1998 kl. 18.00.00,"313,52"
22.07.1998 kl. 18.00.00,"308,13"
23.07.1998 kl. 18.00.00,"307,42"
24.07.1998 kl. 18.00.00,"305,3"
27.07.1998 kl. 18.00.00,"300,5"
28.07.1998 kl. 18.00.00,"299,72"
29.07.1998 kl. 18.00.00,"299,16"
30.07.1998 kl. 18.00.00,"302,63"
31.07.1998 kl. 18.00.00,"299,76"
03.08.1998 kl. 18.00.00,"296,31"
04.08.1998 kl. 18.00.00,"294,95"
05.08.1998 kl. 18.00.00,"288,68"
06.08.1998 kl. 18.00.00,"285,2"
07.08.1998 kl. 18.00.00,"289,42"
10.08.1998 kl. 18.00.00,"284,26"
11.08.1998 kl. 18.00.00,"275,85"
12.08.1998 kl. 18.00.00,"279,49"
13.08.1998 kl. 18.00.00,"277,8"
14.08.1998 kl. 18.00.00,"281,56"
17.08.1998 kl. 18.00.00,"280,68"
18.08.1998 kl. 18.00.00,"289,27"
19.08.1998 kl. 18.00.00,"290,34"
20.08.1998 kl. 18.00.00,"287,36"
21.08.1998 kl. 18.00.00,"277,18"
24.08.1998 kl. 18.00.00,"277,28"
25.08.1998 kl. 18.00.00,"282,98"
26.08.1998 kl. 18.00.00,"276,41"
27.08.1998 kl. 18.00.00,"266,31"
28.08.1998 kl. 18.00.00,"261,62"
31.08.1998 kl. 18.00.00,"259,47"
01.09.1998 kl. 18.00.00,"255,09"
02.09.1998 kl. 18.00.00,"261,02"
03.09.1998 kl. 18.00.00,"254,31"
04.09.1998 kl. 18.00.00,"256,84"
07.09.1998 kl. 18.00.00,"261,55"
08.09.1998 kl. 18.00.00,"265,42"
09.09.1998 kl. 18.00.00,"262,22"
10.09.1998 kl. 18.00.00,"250,71"
11.09.1998 kl. 18.00.00,"249,14"
14.09.1998 kl. 18.00.00,"256,8"
15.09.1998 kl. 18.00.00,"254,82"
16.09.1998 kl. 18.00.00,"256,66"
17.09.1998 kl. 18.00.00,"246,34"
18.09.1998 kl. 18.00.00,"243,11"
21.09.1998 kl. 18.00.00,"234,79"
22.09.1998 kl. 18.00.00,"240,1"
23.09.1998 kl. 18.00.00,"246,28"
24.09.1998 kl. 18.00.00,"243,4"
25.09.1998 kl. 18.00.00,"240,3"
28.09.1998 kl. 18.00.00,"243,42"
29.09.1998 kl. 18.00.00,"242,21"
30.09.1998 kl. 18.00.00,"235,86"
01.10.1998 kl. 18.00.00,"224,49"
02.10.1998 kl. 18.00.00,"218,73"
05.10.1998 kl. 18.00.00,"212,96"
06.10.1998 kl. 18.00.00,"223,27"
07.10.1998 kl. 18.00.00,"220,37"
08.10.1998 kl. 18.00.00,"212,07"
09.10.1998 kl. 18.00.00,"216,09"
12.10.1998 kl. 18.00.00,"216,09"
13.10.1998 kl. 18.00.00,"216,09"
14.10.1998 kl. 18.00.00,"216,09"
15.10.1998 kl. 18.00.00,"216,09"
16.10.1998 kl. 18.00.00,"216,09"
19.10.1998 kl. 18.00.00,"216,09"
