Index name;Oslo Boers Benchmark Index GR;;Index name;Oslo Boers Benchmark Index GR;;Index name;OSLO Energy Index;;Index name;OSLO Energy Index;;Index name;OBX ENERGY GR;;Index name;OBX ENERGY GR
Frequency;Daglig data;;Frequency;Månedlig data;;Frequency;Daglig data;;Frequency;Månedlig data;;Frequency;Daglig data;;Frequency;Månedlig data
Dato;OSEBX Index;;Dato;OSEBX Index;;Dato;OSLENX Index;;Dato;OSLENX Index;;Dato;OENG Index;;Dato;OENG Index
30.12.1999;189.8;;31.12.1999;189.8;;29.06.2010;109.7;;30.06.2010;110.6;;30.12.1999;149.695;;31.12.1999;149.70
03.01.2000;192.7;;31.01.2000;184.5;;30.06.2010;110.6;;30.07.2010;110.79;;03.01.2000;153.497;;31.01.2000;154.56
04.01.2000;185.7;;29.02.2000;189.4;;01.07.2010;106.23;;31.08.2010;107.66;;04.01.2000;147.188;;29.02.2000;155.13
05.01.2000;180.6;;31.03.2000;188.3;;02.07.2010;109.2;;30.09.2010;115.96;;05.01.2000;142.761;;31.03.2000;165.33
06.01.2000;182.6;;28.04.2000;182.1;;05.07.2010;107.57;;29.10.2010;120.99;;06.01.2000;141.92;;28.04.2000;155.68
07.01.2000;186.4;;31.05.2000;190.6;;06.07.2010;111.54;;30.11.2010;118.97;;07.01.2000;142.071;;31.05.2000;176.66
10.01.2000;191.4;;30.06.2000;196.3;;07.07.2010;113.22;;31.12.2010;133.82;;10.01.2000;144.415;;30.06.2000;170.49
11.01.2000;190.3;;31.07.2000;201.8;;08.07.2010;113.22;;31.01.2011;134.17;;11.01.2000;144.34;;31.07.2000;174.32
12.01.2000;186.6;;31.08.2000;220.6;;09.07.2010;113.61;;28.02.2011;140.9;;12.01.2000;139.392;;31.08.2000;204.66
13.01.2000;189.9;;29.09.2000;213.9;;12.07.2010;114.48;;31.03.2011;143.83;;13.01.2000;140.66;;29.09.2000;191.96
14.01.2000;191.2;;31.10.2000;212.9;;13.07.2010;115.95;;29.04.2011;141.62;;14.01.2000;142.018;;31.10.2000;181.56
