DATE,EUR_NOK,Q,d_pi,dI_t
2000-01-31,8.082500,2.030652,0.001817,1.750000
2000-02-01,8.073000,2.027659,0.001817,1.750000
2000-02-02,8.017500,2.020760,0.001817,1.750000
2000-02-03,8.047500,2.024495,0.001817,1.750000
2000-02-04,8.083000,2.028897,0.001817,1.750000
2000-02-05,8.083000,2.028897,0.001817,1.750000
2000-02-06,8.083000,2.028897,0.001817,1.750000
2000-02-07,8.059000,2.025923,0.001817,1.750000
2000-02-08,8.072000,2.027535,0.001817,1.750000
2000-02-09,8.082500,2.028835,0.001817,1.750000
2000-02-10,8.069500,2.027225,0.001817,1.750000
2000-02-11,8.039500,2.023500,0.001817,1.750000
2000-02-12,8.039500,2.023500,0.001817,1.750000
2000-02-13,8.039500,2.023500,0.001817,1.750000
2000-02-14,8.079500,2.028463,0.001817,1.750000
2000-02-15,8.068500,2.027101,0.001817,1.750000
2000-02-16,8.112500,2.032540,0.001817,1.750000
2000-02-17,8.156500,2.037949,0.001817,1.750000
2000-02-18,8.145500,2.036599,0.001817,1.750000
2000-02-19,8.145500,2.036599,0.001817,1.750000
2000-02-20,8.145500,2.036599,0.001817,1.750000
2000-02-21,8.170000,2.039602,0.001817,1.750000
2000-02-22,8.191500,2.042230,0.001817,1.750000
2000-02-23,8.195500,2.042719,0.001817,1.750000
2000-02-24,8.147500,2.036845,0.001817,1.750000
2000-02-25,8.127500,2.034387,0.001817,1.750000
2000-02-26,8.127500,2.034387,0.001817,1.750000
2000-02-27,8.127500,2.034387,0.001817,1.750000
2000-02-28,8.062500,2.026357,0.001817,1.750000
2000-02-29,8.080500,2.028587,0.001817,1.750000
2000-03-01,8.082500,2.029388,-0.000553,1.750000
2000-03-02,8.070000,2.027840,-0.000553,1.750000
2000-03-03,8.084000,2.029573,-0.000553,1.750000
2000-03-04,8.084000,2.029573,-0.000553,1.750000
2000-03-05,8.084000,2.029573,-0.000553,1.750000
2000-03-06,8.076500,2.028645,-0.000553,1.750000
2000-03-07,8.084000,2.029573,-0.000553,1.750000
2000-03-08,8.085000,2.029697,-0.000553,1.750000
2000-03-09,8.117500,2.033709,-0.000553,1.750000
2000-03-10,8.099500,2.031489,-0.000553,1.750000
2000-03-11,8.099500,2.031489,-0.000553,1.750000
2000-03-12,8.099500,2.031489,-0.000553,1.750000
2000-03-13,8.120500,2.034078,-0.000553,1.750000
2000-03-14,8.121000,2.034140,-0.000553,1.750000
2000-03-15,8.140000,2.036477,-0.000553,1.750000
2000-03-16,8.158500,2.038747,-0.000553,1.750000
2000-03-17,8.154000,2.038195,-0.000553,1.750000
2000-03-18,8.154000,2.038195,-0.000553,1.750000
2000-03-19,8.154000,2.038195,-0.000553,1.750000
2000-03-20,8.170500,2.040217,-0.000553,1.750000
2000-03-21,8.166000,2.039666,-0.000553,1.750000
2000-03-22,8.147500,2.037398,-0.000553,1.750000
2000-03-23,8.106000,2.032291,-0.000553,1.750000
2000-03-24,8.130000,2.035248,-0.000553,1.750000
2000-03-25,8.130000,2.035248,-0.000553,1.750000
2000-03-26,8.130000,2.035248,-0.000553,1.750000
2000-03-27,8.127000,2.034879,-0.000553,1.750000
2000-03-28,8.081000,2.029202,-0.000553,1.750000
2000-03-29,8.062500,2.026910,-0.000553,1.750000
2000-03-30,8.081500,2.029264,-0.000553,1.750000
2000-03-31,8.088500,2.030130,-0.000553,1.750000
2000-04-01,8.088500,2.024848,0.005282,1.750000
2000-04-02,8.088500,2.024848,0.005282,1.750000
2000-04-03,8.109000,2.027379,0.005282,1.750000
2000-04-04,8.114500,2.028057,0.005282,1.750000
2000-04-05,8.157000,2.033281,0.005282,1.750000
2000-04-06,8.133000,2.030335,0.005282,1.750000
2000-04-07,8.127000,2.029597,0.005282,1.750000
2000-04-08,8.127000,2.029597,0.005282,1.750000
2000-04-09,8.127000,2.029597,0.005282,1.750000
2000-04-10,8.146500,2.031993,0.005282,1.750000
2000-04-11,8.176500,2.035669,0.005282,1.750000
2000-04-12,8.158500,2.033465,0.005282,1.750000
2000-04-13,8.148000,2.032177,0.005282,2.000000
2000-04-14,8.149000,2.032300,0.005282,2.000000
2000-04-15,8.149000,2.032300,0.005282,2.000000
2000-04-16,8.149000,2.032300,0.005282,2.000000
2000-04-17,8.207500,2.039453,0.005282,2.000000
2000-04-18,8.177500,2.035791,0.005282,2.000000
2000-04-19,8.172000,2.035118,0.005282,2.000000
2000-04-20,8.172000,2.035118,0.005282,2.000000
2000-04-21,8.172000,2.035118,0.005282,2.000000
