Index name;Oslo Boers Benchmark Index GR
Dato;OSEBX Index
30.12.1999;189.8
03.01.2000;192.7
04.01.2000;185.7
05.01.2000;180.6
06.01.2000;182.6
07.01.2000;186.4
10.01.2000;191.4
11.01.2000;190.3
12.01.2000;186.6
13.01.2000;189.9
14.01.2000;191.2
17.01.2000;191.2
18.01.2000;190.9
19.01.2000;190.6
20.01.2000;191.7
21.01.2000;191.8
24.01.2000;193.5
25.01.2000;188.9
26.01.2000;190.9
27.01.2000;190.8
28.01.2000;190.1
31.01.2000;184.5
01.02.2000;184.2
02.02.2000;186.6
03.02.2000;191.2
04.02.2000;191.6
07.02.2000;190.6
08.02.2000;192.2
09.02.2000;189.6
10.02.2000;190.8
11.02.2000;191.3
14.02.2000;190.6
15.02.2000;189.0
16.02.2000;188.3
17.02.2000;186.9
18.02.2000;187.0
21.02.2000;185.4
22.02.2000;186.9
23.02.2000;189.8
24.02.2000;190.5
25.02.2000;189.2
28.02.2000;187.7
29.02.2000;189.4
01.03.2000;193.7
02.03.2000;191.2
03.03.2000;192.8
06.03.2000;194.1
07.03.2000;199.4
08.03.2000;198.9
09.03.2000;198.2
10.03.2000;197.8
13.03.2000;192.1
14.03.2000;193.9
15.03.2000;189.3
16.03.2000;189.7
17.03.2000;188.1
20.03.2000;188.4
21.03.2000;187.0
22.03.2000;189.4
23.03.2000;189.7
24.03.2000;190.5
27.03.2000;188.8
28.03.2000;189.2
29.03.2000;187.6
30.03.2000;184.7
31.03.2000;188.3
03.04.2000;186.6
04.04.2000;184.9
05.04.2000;175.6
06.04.2000;181.5
07.04.2000;184.2
10.04.2000;184.5
11.04.2000;181.1
12.04.2000;181.6
13.04.2000;179.4
14.04.2000;174.7
17.04.2000;172.3
18.04.2000;174.6
19.04.2000;178.3
25.04.2000;178.6
26.04.2000;180.1
27.04.2000;177.4
28.04.2000;182.1
02.05.2000;185.4
03.05.2000;187.8
04.05.2000;190.1
05.05.2000;190.0
08.05.2000;190.2
09.05.2000;190.9
10.05.2000;189.1
11.05.2000;189.9
12.05.2000;193.4
15.05.2000;193.5
16.05.2000;196.5
18.05.2000;199.2
19.05.2000;195.9
22.05.2000;194.4
23.05.2000;194.1
24.05.2000;190.9
25.05.2000;193.0
26.05.2000;190.4
29.05.2000;189.4
30.05.2000;191.2
31.05.2000;190.6
02.06.2000;194.3
05.06.2000;192.3
06.06.2000;190.4
07.06.2000;190.5
08.06.2000;191.9
09.06.2000;192.6
13.06.2000;193.3
14.06.2000;193.5
15.06.2000;193.3
16.06.2000;194.9
19.06.2000;194.7
20.06.2000;193.3
21.06.2000;191.0
22.06.2000;192.3
23.06.2000;193.4
26.06.2000;194.2
27.06.2000;194.9
28.06.2000;196.2
29.06.2000;194.6
30.06.2000;196.3
03.07.2000;197.7
04.07.2000;196.9
05.07.2000;196.4
06.07.2000;196.7
07.07.2000;198.2
10.07.2000;197.1
11.07.2000;197.4
12.07.2000;200.0
13.07.2000;201.6
14.07.2000;201.8
17.07.2000;201.6
18.07.2000;201.6
19.07.2000;202.1
20.07.2000;202.6
21.07.2000;202.8
24.07.2000;203.3
25.07.2000;202.9
26.07.2000;203.1
27.07.2000;201.6
28.07.2000;202.4
31.07.2000;201.8
01.08.2000;202.3
02.08.2000;202.4
03.08.2000;201.0
04.08.2000;203.3
07.08.2000;203.3
08.08.2000;204.0
09.08.2000;206.7
10.08.2000;205.0
11.08.2000;206.8
14.08.2000;210.7
15.08.2000;211.1
16.08.2000;212.7
17.08.2000;212.9
18.08.2000;213.4
21.08.2000;217.4
22.08.2000;216.2
23.08.2000;218.4
24.08.2000;220.7
25.08.2000;220.9
28.08.2000;218.9
29.08.2000;219.0
30.08.2000;218.5
31.08.2000;220.6
01.09.2000;220.6
04.09.2000;219.1
05.09.2000;217.1
06.09.2000;216.9
07.09.2000;218.1
08.09.2000;218.6
11.09.2000;219.6
12.09.2000;223.0
13.09.2000;221.7
14.09.2000;225.0
15.09.2000;224.4
18.09.2000;223.6
19.09.2000;222.8
20.09.2000;219.8
21.09.2000;217.9
22.09.2000;213.7
25.09.2000;214.3
26.09.2000;212.6
