Date,Close
18.11.1996 kl. 16.00.00,"737,02"
19.11.1996 kl. 16.00.00,"742,16"
21.11.1996 kl. 16.00.00,"742,72"
22.11.1996 kl. 16.00.00,"748,7"
25.11.1996 kl. 16.00.00,"757,03"
26.11.1996 kl. 16.00.00,"755,96"
27.11.1996 kl. 16.00.00,"754,99"
29.11.1996 kl. 16.00.00,"757,02"
02.12.1996 kl. 16.00.00,"756,53"
03.12.1996 kl. 16.00.00,"748,3"
04.12.1996 kl. 16.00.00,"745,1"
05.12.1996 kl. 16.00.00,"744,38"
06.12.1996 kl. 16.00.00,"739,6"
09.12.1996 kl. 16.00.00,"749,73"
10.12.1996 kl. 16.00.00,"747,54"
11.12.1996 kl. 16.00.00,"740,73"
12.12.1996 kl. 16.00.00,"729,31"
13.12.1996 kl. 16.00.00,"728,64"
16.12.1996 kl. 16.00.00,"720,99"
17.12.1996 kl. 16.00.00,"726,06"
18.12.1996 kl. 16.00.00,"731,54"
19.12.1996 kl. 16.00.00,"745,77"
20.12.1996 kl. 16.00.00,"748,87"
23.12.1996 kl. 16.00.00,"746,93"
24.12.1996 kl. 16.00.00,"751,03"
26.12.1996 kl. 16.00.00,"755,82"
27.12.1996 kl. 16.00.00,"756,82"
30.12.1996 kl. 16.00.00,"753,85"
31.12.1996 kl. 16.00.00,"740,74"
02.01.1997 kl. 16.00.00,"736,99"
03.01.1997 kl. 16.00.00,"748,04"
06.01.1997 kl. 16.00.00,"747,67"
07.01.1997 kl. 16.00.00,"753,24"
08.01.1997 kl. 16.00.00,"748,41"
09.01.1997 kl. 16.00.00,"754,85"
10.01.1997 kl. 16.00.00,"759,44"
13.01.1997 kl. 16.00.00,"759,53"
14.01.1997 kl. 16.00.00,"768,86"
15.01.1997 kl. 16.00.00,"767,25"
16.01.1997 kl. 16.00.00,"769,75"
17.01.1997 kl. 16.00.00,"776,17"
20.01.1997 kl. 16.00.00,"776,7"
21.01.1997 kl. 16.00.00,"782,75"
22.01.1997 kl. 16.00.00,"786,22"
23.01.1997 kl. 16.00.00,"777,56"
24.01.1997 kl. 16.00.00,"770,48"
27.01.1997 kl. 16.00.00,765
28.01.1997 kl. 16.00.00,"765,03"
29.01.1997 kl. 16.00.00,"772,5"
30.01.1997 kl. 16.00.00,"784,16"
31.01.1997 kl. 16.00.00,"786,16"
03.02.1997 kl. 16.00.00,"786,7"
04.02.1997 kl. 16.00.00,"789,28"
05.02.1997 kl. 16.00.00,"778,18"
07.02.1997 kl. 16.00.00,"789,56"
10.02.1997 kl. 16.00.00,"785,45"
11.02.1997 kl. 16.00.00,"789,59"
12.02.1997 kl. 16.00.00,"802,77"
13.02.1997 kl. 16.00.00,"811,83"
14.02.1997 kl. 16.00.00,"808,45"
18.02.1997 kl. 16.00.00,"809,55"
19.02.1997 kl. 16.00.00,"812,47"
20.02.1997 kl. 16.00.00,"802,8"
21.02.1997 kl. 16.00.00,"801,77"
24.02.1997 kl. 16.00.00,"810,31"
25.02.1997 kl. 16.00.00,"812,08"
26.02.1997 kl. 16.00.00,"805,67"
27.02.1997 kl. 16.00.00,"795,08"
28.02.1997 kl. 16.00.00,"790,82"
03.03.1997 kl. 16.00.00,"795,31"
04.03.1997 kl. 16.00.00,"790,95"
05.03.1997 kl. 16.00.00,"801,99"
06.03.1997 kl. 16.00.00,"798,59"
07.03.1997 kl. 16.00.00,"804,97"
10.03.1997 kl. 16.00.00,"813,65"
11.03.1997 kl. 16.00.00,"811,34"
12.03.1997 kl. 16.00.00,"804,26"
13.03.1997 kl. 16.00.00,"789,56"
14.03.1997 kl. 16.00.00,"793,17"
17.03.1997 kl. 16.00.00,"795,71"
19.03.1997 kl. 16.00.00,"785,76"
20.03.1997 kl. 16.00.00,"782,65"
21.03.1997 kl. 16.00.00,"784,1"
24.03.1997 kl. 16.00.00,"790,89"
25.03.1997 kl. 16.00.00,"789,07"
26.03.1997 kl. 16.00.00,"790,53"
31.03.1997 kl. 16.00.00,"757,12"
01.04.1997 kl. 16.00.00,"759,64"
02.04.1997 kl. 16.00.00,"750,11"
03.04.1997 kl. 16.00.00,"750,32"
04.04.1997 kl. 16.00.00,"757,9"
07.04.1997 kl. 16.00.00,"762,12"
08.04.1997 kl. 16.00.00,"766,12"
09.04.1997 kl. 16.00.00,"760,6"
10.04.1997 kl. 16.00.00,"758,33"
11.04.1997 kl. 16.00.00,"737,65"
14.04.1997 kl. 16.00.00,"743,73"
15.04.1997 kl. 16.00.00,"754,72"
16.04.1997 kl. 16.00.00,"753,96"
17.04.1997 kl. 16.00.00,"761,77"
18.04.1997 kl. 16.00.00,"766,34"
21.04.1997 kl. 16.00.00,"760,37"
22.04.1997 kl. 16.00.00,"764,42"
23.04.1997 kl. 16.00.00,"773,64"
24.04.1997 kl. 16.00.00,"771,18"
25.04.1997 kl. 16.00.00,"765,37"
28.04.1997 kl. 16.00.00,"772,96"
29.04.1997 kl. 16.00.00,"794,05"
30.04.1997 kl. 16.00.00,"801,34"
01.05.1997 kl. 16.00.00,"798,53"
02.05.1997 kl. 16.00.00,"812,97"
05.05.1997 kl. 16.00.00,"830,2"
06.05.1997 kl. 16.00.00,"827,76"
07.05.1997 kl. 16.00.00,"815,62"
08.05.1997 kl. 16.00.00,"820,28"
09.05.1997 kl. 16.00.00,"824,79"
12.05.1997 kl. 16.00.00,"837,66"
13.05.1997 kl. 16.00.00,"833,13"
14.05.1997 kl. 16.00.00,"836,05"
15.05.1997 kl. 16.00.00,"841,88"
16.05.1997 kl. 16.00.00,"829,75"
19.05.1997 kl. 16.00.00,"833,27"
20.05.1997 kl. 16.00.00,"841,66"
21.05.1997 kl. 16.00.00,"839,39"
22.05.1997 kl. 16.00.00,"835,66"
23.05.1997 kl. 16.00.00,"847,03"
27.05.1997 kl. 16.00.00,"849,71"
28.05.1997 kl. 16.00.00,"847,21"
29.05.1997 kl. 16.00.00,"844,08"
30.05.1997 kl. 16.00.00,"848,28"
02.06.1997 kl. 16.00.00,"846,36"
03.06.1997 kl. 16.00.00,"845,48"
04.06.1997 kl. 16.00.00,"840,11"
05.06.1997 kl. 16.00.00,"843,43"
06.06.1997 kl. 16.00.00,"858,01"
09.06.1997 kl. 16.00.00,"862,93"
10.06.1997 kl. 16.00.00,"865,27"
11.06.1997 kl. 16.00.00,"869,57"
12.06.1997 kl. 16.00.00,"883,45"
13.06.1997 kl. 16.00.00,"893,27"
16.06.1997 kl. 16.00.00,"893,93"
17.06.1997 kl. 16.00.00,"894,42"
18.06.1997 kl. 16.00.00,"889,06"
19.06.1997 kl. 16.00.00,"897,99"
20.06.1997 kl. 16.00.00,"898,7"
23.06.1997 kl. 16.00.00,"878,62"
24.06.1997 kl. 16.00.00,"896,34"
25.06.1997 kl. 16.00.00,"888,99"
26.06.1997 kl. 16.00.00,"883,69"
27.06.1997 kl. 16.00.00,"887,29"
30.06.1997 kl. 16.00.00,"885,2"
01.07.1997 kl. 16.00.00,"891,03"
02.07.1997 kl. 16.00.00,"904,04"
03.07.1997 kl. 16.00.00,"916,92"
07.07.1997 kl. 16.00.00,"912,2"
08.07.1997 kl. 16.00.00,"918,75"
09.07.1997 kl. 16.00.00,"907,54"
10.07.1997 kl. 16.00.00,"913,78"
11.07.1997 kl. 16.00.00,"916,66"
14.07.1997 kl. 16.00.00,"918,37"
16.07.1997 kl. 16.00.00,"936,56"
17.07.1997 kl. 16.00.00,"931,6"
18.07.1997 kl. 16.00.00,"915,3"
21.07.1997 kl. 16.00.00,"912,98"
22.07.1997 kl. 16.00.00,"933,91"
23.07.1997 kl. 16.00.00,"936,56"
24.07.1997 kl. 16.00.00,"940,33"
25.07.1997 kl. 16.00.00,"938,79"
28.07.1997 kl. 16.00.00,"938,45"
29.07.1997 kl. 16.00.00,"942,29"
30.07.1997 kl. 16.00.00,"952,29"
31.07.1997 kl. 16.00.00,"954,31"
01.08.1997 kl. 16.00.00,"947,14"
04.08.1997 kl. 16.00.00,"950,3"
05.08.1997 kl. 16.00.00,"952,37"
06.08.1997 kl. 16.00.00,"960,32"
07.08.1997 kl. 16.00.00,"951,19"
08.08.1997 kl. 16.00.00,"933,54"
11.08.1997 kl. 16.00.00,937
12.08.1997 kl. 16.00.00,"926,53"
13.08.1997 kl. 16.00.00,"922,02"
14.08.1997 kl. 16.00.00,"924,77"
15.08.1997 kl. 16.00.00,"900,81"
18.08.1997 kl. 16.00.00,"912,49"
19.08.1997 kl. 16.00.00,"926,01"
20.08.1997 kl. 16.00.00,"939,35"
21.08.1997 kl. 16.00.00,"925,04"
22.08.1997 kl. 16.00.00,"923,54"
25.08.1997 kl. 16.00.00,"920,15"
26.08.1997 kl. 16.00.00,"913,02"
27.08.1997 kl. 16.00.00,"907,24"
28.08.1997 kl. 16.00.00,"903,67"
29.08.1997 kl. 16.00.00,"899,48"
02.09.1997 kl. 16.00.00,"911,33"
03.09.1997 kl. 16.00.00,"927,85"
04.09.1997 kl. 16.00.00,"930,87"
05.09.1997 kl. 16.00.00,"929,05"
08.09.1997 kl. 16.00.00,"931,2"
09.09.1997 kl. 16.00.00,"933,62"
10.09.1997 kl. 16.00.00,"919,03"
11.09.1997 kl. 16.00.00,"912,59"
12.09.1997 kl. 16.00.00,"923,91"
15.09.1997 kl. 16.00.00,"919,77"
16.09.1997 kl. 16.00.00,"945,64"
17.09.1997 kl. 16.00.00,943
18.09.1997 kl. 16.00.00,"947,32"
19.09.1997 kl. 16.00.00,"950,5"
22.09.1997 kl. 16.00.00,"955,43"
23.09.1997 kl. 16.00.00,"951,93"
24.09.1997 kl. 16.00.00,"944,48"
25.09.1997 kl. 16.00.00,"937,93"
26.09.1997 kl. 16.00.00,"945,22"
29.09.1997 kl. 16.00.00,"953,34"
30.09.1997 kl. 16.00.00,"947,28"
01.10.1997 kl. 16.00.00,"955,41"
02.10.1997 kl. 16.00.00,"960,46"
03.10.1997 kl. 16.00.00,"965,04"
06.10.1997 kl. 16.00.00,"972,69"
07.10.1997 kl. 16.00.00,"983,11"
08.10.1997 kl. 16.00.00,"973,84"
09.10.1997 kl. 16.00.00,"970,62"
10.10.1997 kl. 16.00.00,"966,98"
13.10.1997 kl. 16.00.00,"968,1"
14.10.1997 kl. 16.00.00,"970,28"
15.10.1997 kl. 16.00.00,"965,73"
16.10.1997 kl. 16.00.00,"955,25"
17.10.1997 kl. 16.00.00,"944,18"
20.10.1997 kl. 16.00.00,"955,61"
21.10.1997 kl. 16.00.00,"972,28"
22.10.1997 kl. 16.00.00,"968,49"
23.10.1997 kl. 16.00.00,"950,69"
24.10.1997 kl. 16.00.00,"941,65"
27.10.1997 kl. 16.00.00,"876,99"
28.10.1997 kl. 16.00.00,"921,48"
29.10.1997 kl. 16.00.00,"919,16"
30.10.1997 kl. 16.00.00,"903,69"
31.10.1997 kl. 16.00.00,"914,62"
03.11.1997 kl. 16.00.00,"938,99"
04.11.1997 kl. 16.00.00,"940,76"
05.11.1997 kl. 16.00.00,"942,76"
06.11.1997 kl. 16.00.00,"938,03"
07.11.1997 kl. 16.00.00,"927,51"
10.11.1997 kl. 16.00.00,"921,13"
11.11.1997 kl. 16.00.00,"923,78"
12.11.1997 kl. 16.00.00,"905,93"
13.11.1997 kl. 16.00.00,"916,65"
14.11.1997 kl. 16.00.00,"928,35"
17.11.1997 kl. 16.00.00,"946,2"
18.11.1997 kl. 16.00.00,"938,23"
19.11.1997 kl. 16.00.00,"944,59"
20.11.1997 kl. 16.00.00,"958,99"
21.11.1997 kl. 16.00.00,"963,1"
24.11.1997 kl. 16.00.00,"946,67"
25.11.1997 kl. 16.00.00,"950,82"
26.11.1997 kl. 16.00.00,"951,64"
28.11.1997 kl. 16.00.00,"955,4"
01.12.1997 kl. 16.00.00,"974,77"
02.12.1997 kl. 16.00.00,"971,69"
03.12.1997 kl. 16.00.00,"976,77"
04.12.1997 kl. 16.00.00,"973,1"
05.12.1997 kl. 16.00.00,"983,79"
08.12.1997 kl. 16.00.00,"982,37"
09.12.1997 kl. 16.00.00,"980,96"
10.12.1997 kl. 16.00.00,"969,79"
11.12.1997 kl. 16.00.00,"954,94"
12.12.1997 kl. 16.00.00,"953,39"
15.12.1997 kl. 16.00.00,"963,39"
16.12.1997 kl. 16.00.00,"968,04"
17.12.1997 kl. 16.00.00,"965,54"
18.12.1997 kl. 16.00.00,"955,3"
19.12.1997 kl. 16.00.00,"946,78"
22.12.1997 kl. 16.00.00,"953,71"
23.12.1997 kl. 16.00.00,"939,12"
24.12.1997 kl. 16.00.00,"932,7"
26.12.1997 kl. 16.00.00,"936,46"
29.12.1997 kl. 16.00.00,"953,37"
30.12.1997 kl. 16.00.00,"970,84"
31.12.1997 kl. 16.00.00,"970,43"
02.01.1998 kl. 16.00.00,"975,04"
05.01.1998 kl. 16.00.00,"977,08"
06.01.1998 kl. 16.00.00,"966,58"
07.01.1998 kl. 16.00.00,964
08.01.1998 kl. 16.00.00,"956,04"
09.01.1998 kl. 16.00.00,"941,99"
12.01.1998 kl. 16.00.00,"939,21"
13.01.1998 kl. 16.00.00,"952,13"
14.01.1998 kl. 16.00.00,"957,92"
15.01.1998 kl. 16.00.00,"950,74"
16.01.1998 kl. 16.00.00,"961,51"
20.01.1998 kl. 16.00.00,"978,6"
21.01.1998 kl. 16.00.00,"970,78"
22.01.1998 kl. 16.00.00,"963,04"
23.01.1998 kl. 16.00.00,"957,59"
26.01.1998 kl. 16.00.00,"956,95"
27.01.1998 kl. 16.00.00,"969,02"
28.01.1998 kl. 16.00.00,"977,46"
29.01.1998 kl. 16.00.00,"985,5"
30.01.1998 kl. 16.00.00,"980,28"
02.02.1998 kl. 16.00.00,"1001,28"
03.02.1998 kl. 16.00.00,1006
04.02.1998 kl. 16.00.00,"1006,9"
05.02.1998 kl. 16.00.00,"1003,53"
06.02.1998 kl. 16.00.00,"1012,45"
09.02.1998 kl. 16.00.00,"1010,74"
10.02.1998 kl. 16.00.00,"1019,01"
11.02.1998 kl. 16.00.00,"1020,01"
12.02.1998 kl. 16.00.00,"1024,14"
13.02.1998 kl. 16.00.00,"1020,09"
17.02.1998 kl. 16.00.00,"1022,77"
18.02.1998 kl. 16.00.00,"1032,05"
19.02.1998 kl. 16.00.00,"1028,28"
20.02.1998 kl. 16.00.00,"1034,21"
23.02.1998 kl. 16.00.00,"1038,14"
24.02.1998 kl. 16.00.00,"1030,56"
25.02.1998 kl. 16.00.00,"1042,9"
26.02.1998 kl. 16.00.00,"1048,66"
27.02.1998 kl. 16.00.00,"1049,34"
02.03.1998 kl. 16.00.00,"1047,72"
03.03.1998 kl. 16.00.00,"1052,02"
04.03.1998 kl. 16.00.00,"1047,34"
05.03.1998 kl. 16.00.00,"1035,06"
06.03.1998 kl. 16.00.00,"1055,64"
09.03.1998 kl. 16.00.00,"1052,3"
10.03.1998 kl. 16.00.00,"1064,26"
11.03.1998 kl. 16.00.00,"1068,46"
12.03.1998 kl. 16.00.00,"1069,95"
13.03.1998 kl. 16.00.00,"1068,61"
16.03.1998 kl. 16.00.00,"1079,27"
17.03.1998 kl. 16.00.00,"1080,45"
18.03.1998 kl. 16.00.00,"1085,51"
19.03.1998 kl. 16.00.00,"1089,73"
20.03.1998 kl. 16.00.00,"1099,18"
23.03.1998 kl. 16.00.00,"1095,55"
24.03.1998 kl. 16.00.00,"1105,65"
25.03.1998 kl. 16.00.00,1102
26.03.1998 kl. 16.00.00,"1100,8"
27.03.1998 kl. 16.00.00,"1095,44"
30.03.1998 kl. 16.00.00,"1093,6"
31.03.1998 kl. 16.00.00,"1101,76"
01.04.1998 kl. 16.00.00,"1108,13"
02.04.1998 kl. 16.00.00,"1120,01"
03.04.1998 kl. 16.00.00,"1122,7"
06.04.1998 kl. 16.00.00,"1121,39"
07.04.1998 kl. 16.00.00,"1109,54"
08.04.1998 kl. 16.00.00,"1101,65"
09.04.1998 kl. 16.00.00,"1110,67"
13.04.1998 kl. 16.00.00,"1109,69"
14.04.1998 kl. 16.00.00,"1115,75"
15.04.1998 kl. 16.00.00,"1119,32"
16.04.1998 kl. 16.00.00,"1108,17"
17.04.1998 kl. 16.00.00,"1122,72"
20.04.1998 kl. 16.00.00,"1123,64"
21.04.1998 kl. 16.00.00,"1126,36"
22.04.1998 kl. 16.00.00,"1130,48"
23.04.1998 kl. 16.00.00,"1119,58"
24.04.1998 kl. 16.00.00,"1107,9"
27.04.1998 kl. 16.00.00,"1086,54"
28.04.1998 kl. 16.00.00,"1085,11"
29.04.1998 kl. 16.00.00,"1094,62"
30.04.1998 kl. 16.00.00,"1111,75"
01.05.1998 kl. 16.00.00,"1121,02"
04.05.1998 kl. 16.00.00,"1122,07"
05.05.1998 kl. 16.00.00,"1115,65"
06.05.1998 kl. 16.00.00,"1104,9"
07.05.1998 kl. 16.00.00,"1095,14"
08.05.1998 kl. 16.00.00,"1108,14"
11.05.1998 kl. 16.00.00,"1106,64"
12.05.1998 kl. 16.00.00,"1115,79"
13.05.1998 kl. 16.00.00,"1118,86"
14.05.1998 kl. 16.00.00,"1117,37"
15.05.1998 kl. 16.00.00,"1108,73"
18.05.1998 kl. 16.00.00,"1105,82"
19.05.1998 kl. 16.00.00,"1109,52"
20.05.1998 kl. 16.00.00,"1119,06"
21.05.1998 kl. 16.00.00,"1114,64"
22.05.1998 kl. 16.00.00,"1110,47"
26.05.1998 kl. 16.00.00,"1094,02"
27.05.1998 kl. 16.00.00,"1092,23"
28.05.1998 kl. 16.00.00,"1097,6"
29.05.1998 kl. 16.00.00,"1090,82"
01.06.1998 kl. 16.00.00,"1090,98"
02.06.1998 kl. 16.00.00,"1093,03"
03.06.1998 kl. 16.00.00,"1082,73"
04.06.1998 kl. 16.00.00,"1094,83"
05.06.1998 kl. 16.00.00,"1113,86"
08.06.1998 kl. 16.00.00,"1115,74"
